match_id,participantId,skillSlot,time_stamp
KR_5363442675,1,3,644330
KR_5363442675,8,2,664267
KR_5363442675,2,3,666481
KR_5363442675,7,2,698602
KR_5363442675,5,1,720313
KR_5363442675,8,1,720775
KR_5363442675,1,1,726293
KR_5363442675,6,2,727350
KR_5363442675,10,2,742919
KR_5363442675,9,3,745826
KR_5363442675,1,3,756068
KR_5363442675,3,1,756299
KR_5363442675,7,1,774208
KR_5363442675,8,4,794500
KR_5363442675,2,1,816141
KR_5363442675,4,2,816604
KR_5363442675,6,4,842145
KR_5363442675,9,1,870858
KR_5363442675,7,2,879060
KR_5363442675,10,3,898126
KR_5363442675,8,1,900605
KR_5363442675,1,3,923871
KR_5363438696,3,1,24483
KR_5363438696,4,1,24879
KR_5363438696,10,2,33105
KR_5363438696,9,2,45163
KR_5363438696,2,1,88752
KR_5363438696,1,1,90568
KR_5363438696,8,1,98593
KR_5363438696,5,3,101070
KR_5363438696,6,1,103548
KR_5363438696,9,1,115241
KR_5363438696,7,1,115540
KR_5363438696,2,2,116927
KR_5363438696,3,3,124755
KR_5363438696,8,2,126243
KR_5363438696,6,3,138038
KR_5363438696,4,2,143492
KR_5363438696,1,3,145012
KR_5363438696,2,3,146565
KR_5363438696,5,1,157570
KR_5363438696,3,2,158826
KR_5363438696,9,3,162822
KR_5363438696,8,3,163284
KR_5363438696,7,3,168602
KR_5363438696,10,3,168635
KR_5363438696,6,2,171805
KR_5363438696,1,2,175671
KR_5363438696,6,1,209883
KR_5363438696,8,1,222933
KR_5363438696,7,2,227920
KR_5363438696,9,2,236014
KR_5363438696,1,1,244572
KR_5363438696,5,2,251610
KR_5363438696,3,1,259609
KR_5363438696,4,3,266910
KR_5363438696,2,1,282271
KR_5363438696,6,1,286665
KR_5363438696,1,1,305787
KR_5363438696,10,1,307935
KR_5363438696,8,1,309223
KR_5363438696,5,3,309982
KR_5363438696,3,1,317220
KR_5363438696,2,1,327658
KR_5363438696,9,2,335222
KR_5363438696,7,1,349892
KR_5363438696,10,2,357623
KR_5363438696,6,4,361257
KR_5363438696,4,1,363931
KR_5363438696,3,4,366509
KR_5363438696,9,4,381274
KR_5363438696,1,4,385702
KR_5363438696,5,3,428368
KR_5363438696,6,1,430583
KR_5363438696,10,2,443068
KR_5363438696,2,4,443730
KR_5363438696,8,4,449974
KR_5363438696,7,1,462396
KR_5363438696,1,1,485426
KR_5363438696,3,1,502305
KR_5363438696,9,3,514128
KR_5363438696,4,1,533585
KR_5363438696,5,4,541853
KR_5363438696,8,1,542514
KR_5363438696,2,1,543737
KR_5363438696,10,4,547010
KR_5363438696,6,2,556323
KR_5363438696,3,3,569150
KR_5363438696,7,4,569348
KR_5363438696,9,3,570901
KR_5363438696,1,3,580546
KR_5363438696,3,1,606842
KR_5363438696,8,3,634823
KR_5363438696,4,4,638623
KR_5363438696,10,2,644700
KR_5363438696,6,1,648070
KR_5363438696,1,1,654445
KR_5363438696,2,2,677740
KR_5363438696,3,3,693297
KR_5363438696,5,2,696006
KR_5363438696,9,3,715758
KR_5363438696,7,1,738124
KR_5363438696,6,2,738487
KR_5363438696,8,1,753323
KR_5363438696,4,1,780492
KR_5363438696,2,1,796883
KR_5363438696,1,3,809899
KR_5363438696,4,2,828664
KR_5363438696,9,3,830810
KR_5363438696,10,3,848419
KR_5363438696,5,2,870224
KR_5363438696,7,3,888161
KR_5363438696,2,2,888756
KR_5363438696,3,4,915800
KR_5363438696,1,4,916560
KR_5363438696,9,4,927394
KR_5363438696,4,1,930136
KR_5363438696,6,4,979359
KR_5363438696,5,2,993035
KR_5363438696,1,3,1009881
KR_5363438696,3,3,1048579
KR_5363438696,2,4,1057431
KR_5363438696,10,2,1060305
KR_5363438696,7,1,1064731
KR_5363438696,9,1,1065558
KR_5363438696,1,3,1108103
KR_5363438696,4,2,1117352
KR_5363438696,8,3,1131787
KR_5363438696,9,1,1151497
KR_5363384669,4,1,5702
KR_5363384669,9,3,29659
KR_5363384669,2,1,42644
