match_id,participantId,itemId,time_stamp
KR_5372684240,9,1018,1039676
KR_5372684240,5,1029,1040934
KR_5372684240,1,3004,1066803
KR_5372684240,1,1036,1066969
KR_5372684240,4,1058,1067467
KR_5372684240,1,2055,1067633
KR_5372684240,2,3047,1077732
KR_5372684240,2,2055,1078429
KR_5372684240,3,3041,1090444
KR_5372684240,3,2055,1091365
KR_5372684240,3,1028,1124894
KR_5372684240,7,1042,1126948
KR_5372684240,7,1042,1127046
KR_5372684240,1,3158,1142311
KR_5372684240,8,1052,1144853
KR_5372684240,8,1029,1145482
KR_5372684240,3,2420,1154155
KR_5372684240,4,3089,1168369
KR_5372684240,10,3011,1178106
KR_5372684240,6,3004,1195966
KR_5372684240,6,1037,1198273
KR_5372684240,6,3363,1200223
KR_5372684240,8,3191,1204563
KR_5372684240,7,3085,1272011
KR_5372684240,8,2420,1278569
KR_5372684240,4,3041,1278700
KR_5372684240,10,2055,1281922
KR_5372684240,10,2055,1282087
KR_5383732677,6,1027,2306
KR_5383732677,6,2031,2306
KR_5383732677,7,1035,3621
KR_5383732677,6,3070,4014
KR_5383732677,6,2003,4014
KR_5383732677,6,2003,4014
KR_5383732677,6,3340,4278
KR_5383732677,7,2031,5630
KR_5383732677,7,3340,6125
KR_5383732677,7,3364,8301
KR_5383732677,10,3858,9883
KR_5383732677,10,2003,10445
KR_5383732677,8,1056,10445
KR_5383732677,10,2003,10711
KR_5383732677,8,2003,10812
KR_5383732677,10,3340,10976
KR_5383732677,8,2003,11009
KR_5383732677,2,1039,11043
KR_5383732677,8,3340,11275
KR_5383732677,2,2031,11803
KR_5383732677,2,3340,12067
KR_5383732677,5,3858,12099
KR_5383732677,5,2003,12496
KR_5383732677,5,2003,12628
KR_5383732677,5,3340,12861
KR_5383732677,4,2003,13057
KR_5383732677,4,3070,13554
KR_5383732677,4,2003,14637
KR_5383732677,1,1054,16379
KR_5383732677,1,2003,16379
KR_5383732677,1,3340,16875
KR_5383732677,3,3340,19408
KR_5383732677,3,1036,19902
KR_5383732677,3,2031,20494
KR_5383732677,9,1055,24235
KR_5383732677,9,2003,24858
KR_5383732677,9,3340,25055
KR_5383732677,2,3364,42179
KR_5383732677,3,1083,209682
KR_5383732677,3,2055,210075
KR_5383732677,6,1027,230241
KR_5383732677,6,1001,241076
KR_5383732677,1,3057,244739
KR_5383732677,1,2055,245267
KR_5383732677,1,2003,250143
KR_5383732677,7,6029,258608
KR_5383732677,2,1082,265850
KR_5383732677,2,1026,267595
KR_5383732677,2,2055,268253
KR_5383732677,10,1001,316018
KR_5383732677,10,2031,316614
KR_5383732677,3,1001,316942
KR_5383732677,10,2055,317041
KR_5383732677,3,3364,322314
KR_5383732677,3,3340,322674
KR_5383732677,3,3364,322839
KR_5383732677,8,3802,325436
KR_5383732677,8,2031,326724
KR_5383732677,4,1082,334261
KR_5383732677,4,1028,335277
KR_5383732677,4,1027,335476
KR_5383732677,4,1052,336697
KR_5383732677,5,1028,342391
KR_5383732677,5,1001,342753
KR_5383732677,5,2031,343443
KR_5383732677,9,1001,346206
KR_5383732677,9,6670,346966
KR_5383732677,5,2055,349564
KR_5383732677,6,3158,376549
KR_5383732677,6,2003,377076
KR_5383732677,10,2055,418944
KR_5383732677,10,2055,419207
KR_5383732677,7,3067,422934
KR_5383732677,1,3044,429850
KR_5383732677,5,2055,444179
KR_5383732677,5,2055,444278
KR_5383732677,4,3802,447841
KR_5383732677,4,3067,449459
KR_5383732677,4,1052,449922
KR_5383732677,6,1052,469460
KR_5383732677,3,1037,478282
KR_5383732677,3,1036,480818
KR_5383732677,3,3340,483056
KR_5383732677,7,2055,484181
KR_5383732677,9,1053,507413
KR_5383732677,10,1033,507776
KR_5383732677,8,1026,513122
KR_5383732677,8,2055,513585
KR_5383732677,1,3067,526821
KR_5383732677,6,3802,528631
KR_5383732677,6,2003,529024
KR_5383732677,1,2055,552330
KR_5383732677,2,3145,557825
KR_5383732677,2,1028,558119
KR_5383732677,2,3020,561972
KR_5383732677,2,1028,563987
KR_5383732677,2,3020,568793
KR_5383732677,5,3047,581045
KR_5383732677,5,2055,581373
KR_5383732677,10,3111,582793
KR_5383732677,10,3364,584307
KR_5383732677,4,4629,599694
KR_5383732677,4,2055,600615
KR_5383732677,7,1036,633574
KR_5383732677,7,2055,634198
KR_5383732677,9,6673,637265
KR_5383732677,5,2055,637694
KR_5383732677,5,2055,637826
KR_5383732677,5,3364,639277
KR_5383732677,3,6670,654758
KR_5383732677,3,3364,661584
KR_5383732677,3,3158,667809
KR_5383732677,8,6655,677356
KR_5383732677,6,3067,683225
KR_5383732677,6,2031,684343
KR_5383732677,8,2055,684902
KR_5383732677,5,2055,699522
KR_5383732677,5,2055,700806
KR_5383732677,1,6632,719857
KR_5383732677,1,1001,720979
KR_5383732677,1,2055,721242
KR_5383732677,10,3067,779394
KR_5383732677,10,2055,779955
KR_5383732677,3,6671,804201
KR_5383732677,4,6653,806405
KR_5383732677,3,3363,806537
KR_5383732677,4,2055,807263
KR_5383732677,3,2055,807657
KR_5383732677,4,3363,807722
KR_5383732677,5,3067,808741
KR_5383732677,5,2055,809269
KR_5383732677,5,2055,809399
KR_5383732677,8,1001,829327
KR_5383732677,8,1052,829950
KR_5383732677,2,3152,837793
KR_5383732677,2,3113,839602
KR_5383732677,7,6630,843550
KR_5383732677,9,3123,843649
KR_5383732677,9,1036,844604
KR_5383732677,7,2055,844637
KR_5383732677,9,2055,845034
KR_5383732677,1,3077,870106
KR_5383732677,6,6656,874379
KR_5383732677,6,3364,874972
KR_5383732677,5,1033,892627
KR_5383732677,5,2055,892955
KR_5383732677,9,1036,901668
KR_5383732677,8,3916,902852
KR_5368920426,8,2033,1908
KR_5368920426,8,3340,2436
KR_5368920426,7,1035,2833
KR_5368920426,7,2031,3229
KR_5368920426,1,1055,3295
KR_5368920426,1,2003,3295
KR_5368920426,7,3340,3526
KR_5368920426,1,3340,3559
KR_5368920426,10,3854,4089
KR_5368920426,10,2003,4089
KR_5368920426,10,2003,4089
KR_5368920426,2,1035,4155
KR_5368920426,5,3858,4287
KR_5368920426,5,2003,4287
KR_5368920426,5,2003,4287
KR_5368920426,4,1055,4848
KR_5368920426,2,2031,4881
KR_5368920426,10,3340,5079
KR_5368920426,4,2003,5211
KR_5368920426,4,3340,5377
KR_5368920426,3,2033,5674
KR_5368920426,1,1036,5707
KR_5368920426,1,2031,6235
KR_5368920426,1,3340,6499
KR_5368920426,10,3364,13470
KR_5368920426,6,1054,16740
KR_5368920426,9,1036,16971
KR_5368920426,6,2003,17433
KR_5368920426,9,2003,17466
KR_5368920426,6,3340,17633
KR_5368920426,9,2003,17633
KR_5368920426,9,2003,17831
KR_5368920426,5,3364,50234
KR_5368920426,1,1036,105243
KR_5368920426,1,1036,105342
KR_5368920426,5,2031,150693
KR_5368920426,4,2031,150760
KR_5368920426,4,2055,151123
KR_5368920426,3,1001,241117
KR_5368920426,8,1036,244188
KR_5368920426,8,1036,244749
KR_5368920426,3,1082,245773
KR_5368920426,6,1055,248351
KR_5368920426,6,2055,249045
KR_5368920426,1,3134,277953
KR_5368920426,1,3070,278184
KR_5368920426,1,1036,283898
KR_5368920426,1,3070,284130
KR_5368920426,7,3158,298069
KR_5368920426,7,1082,298796
KR_5368920426,7,3364,299357
KR_5368920426,6,1029,299920
KR_5368920426,6,2031,301675
KR_5368920426,6,2055,302170
KR_5368920426,8,1042,302236
KR_5368920426,4,1001,344516
KR_5368920426,4,1036,346134
KR_5368920426,4,1036,346233
KR_5368920426,4,1001,348908
KR_5368920426,4,1036,349933
KR_5368920426,4,1036,350065
KR_5368920426,4,2055,350890
KR_5368920426,8,6670,360008
KR_5368920426,9,6670,374079
KR_5368920426,9,1001,374674
KR_5368920426,3,1027,378212
KR_5368920426,3,1056,387426
KR_5368920426,10,3158,389210
KR_5368920426,6,1001,397770
KR_5368920426,5,1001,397935
KR_5368920426,5,1028,399621
KR_5368920426,5,2055,400381
KR_5368920426,5,2055,400513
KR_5368920426,2,3057,407979
KR_5368920426,2,3044,408871
KR_5368920426,2,2055,409796
KR_5368920426,2,3364,410027
KR_5368920426,1,1053,422151
KR_5368920426,1,1001,423044
KR_5368920426,7,3145,449833
KR_5368920426,7,2055,450891
KR_5368920426,9,1036,503048
KR_5368920426,9,2031,503478
KR_5368920426,4,3057,576613
KR_5368920426,4,3133,576844
KR_5368920426,10,1028,577273
KR_5368920426,6,3047,577802
KR_5368920426,4,2055,578397
KR_5368920426,10,2031,578529
KR_5368920426,6,1036,578628
KR_5368920426,10,2055,581303
KR_5368920426,5,3009,591148
